          date      open      high       low   close       volume
0   2024-04-01  176.1700  176.7500  170.2100  175.22   80751684.0
1   2024-04-02  164.7500  167.6900  163.4300  166.63  115344925.0
2   2024-04-03  164.0200  168.8200  163.2800  168.38   82223543.0
3   2024-04-04  170.0700  177.1900  168.0100  171.11  122061224.0
4   2024-04-05  169.0800  170.8600  160.5100  164.90  136439809.0
5   2024-04-08  169.3400  174.5000  167.7900  172.98  104039371.0
6   2024-04-09  172.9100  179.2200  171.9200  176.88  102327658.0
7   2024-04-10  173.0400  174.9300  170.0100  171.76   84532407.0
8   2024-04-11  172.5500  175.8800  168.5100  174.60   94515987.0
9   2024-04-12  172.3400  173.8099  170.3644  171.05   64722669.0
10  2024-04-15  170.2400  170.6900  161.3800  161.48  100245310.0
11  2024-04-16  156.7420  158.1900  153.7500  157.11   96999956.0
12  2024-04-17  157.6400  158.3300  153.7800  155.45   82439718.0
13  2024-04-18  151.2500  152.2000  148.7000  149.93   96098830.0
14  2024-04-19  148.9700  150.9400  146.2200  147.05   87074500.0
15  2024-04-22  140.5600  144.4400  138.8025  142.05  107097564.0
16  2024-04-23  143.3300  147.2600  141.1100  144.68  124545104.0
17  2024-04-24  162.8400  167.9700  157.5100  162.13  181178020.0
18  2024-04-25  158.9600  170.8800  158.3600  170.18  126427521.0
19  2024-04-26  168.8500  172.1200  166.3700  168.29  109815725.0
20  2024-04-29  188.4200  198.8700  184.5400  194.05  243869678.0
21  2024-04-30  186.9800  190.9500  182.8401  183.28  127031787.0
22  2024-05-01  182.0000  185.8600  179.0100  179.99   92829719.0
23  2024-05-02  182.8600  184.6000  176.0200  180.01   89148041.0
24  2024-05-03  182.1000  184.7800  178.4200  181.19   75491539.0
25  2024-05-06  183.8000  187.5600  182.2000  184.76   84390253.0
26  2024-05-07  182.4000  183.2600  177.4000  177.81   75045854.0
27  2024-05-08  171.5900  176.0600  170.1500  174.72   79969488.0
28  2024-05-09  175.0100  175.6200  171.3700  171.97   65950292.0
29  2024-05-10  173.0500  173.0599  167.7500  168.47   72627178.0
30  2024-05-13  170.0000  175.4000  169.0000  171.89   67018903.0
31  2024-05-14  174.4959  179.4900  174.0700  177.55   86407422.0
32  2024-05-15  179.9000  180.0000  173.1100  173.99   79662993.0
33  2024-05-16  174.1000  175.7900  171.4300  174.84   59812220.0
34  2024-05-17  173.5500  179.6300  172.7500  177.46   77445845.0
35  2024-05-20  177.5600  177.7540  173.5200  174.95   61727425.0
36  2024-05-21  175.5100  186.8750  174.7100  186.60  115266512.0
37  2024-05-22  182.8500  183.8000  178.1200  180.11   88313477.0
38  2024-05-23  181.8000  181.9000  173.2600  173.74   71975496.0
39  2024-05-24  174.8350  180.0800  173.7300  179.24   65584478.0
40  2024-05-28  176.4000  178.2500  173.1600  176.75   59736620.0
41  2024-05-29  174.1900  178.1500  173.9300  176.19   54782649.0
42  2024-05-30  178.5750  182.6700  175.3800  178.79   77784755.0
43  2024-05-31  178.5000  180.3200  173.8200  178.08   67314602.0
44  2024-06-03  178.1300  182.6389  174.4900  176.29   68568920.0
45  2024-06-04  174.7750  177.7550  174.0000  174.77   60056340.0
46  2024-06-05  175.3500  176.1500  172.1300  175.00   57953756.0
47  2024-06-06  174.6000  179.7300  172.7300  177.94   69887024.0
48  2024-06-07  176.1300  179.3500  175.5800  177.48   56244932.0
49  2024-06-10  176.0600  178.5700  173.1700  173.79   50869682.0
50  2024-06-11  173.9200  174.7500  167.4100  170.66   64761928.0
51  2024-06-12  171.1200  180.5500  169.8000  177.29   90389446.0
52  2024-06-13  188.3900  191.0800  181.2300  182.47  118984122.0
53  2024-06-14  185.8000  186.0000  176.9200  178.01   82038194.0
54  2024-06-17  177.9200  188.8100  177.0000  187.44  109786083.0
55  2024-06-18  186.5600  187.2000  182.3700  184.86   68982265.0
56  2024-06-20  184.6800  185.2100  179.6600  181.57   55893139.0
57  2024-06-21  182.3000  183.9500  180.6900  183.01   63029482.0
58  2024-06-24  184.9700  188.8000  182.5500  182.58   61992070.0
59  2024-06-25  184.4000  187.9700  182.0100  187.35   63678265.0
60  2024-06-26  186.5400  197.7550  186.3600  196.37   95737066.0
61  2024-06-27  195.1700  198.7200  194.0500  197.42   72746521.0
62  2024-06-28  199.5500  203.2000  195.2600  197.88   95438068.0
63  2024-07-01  201.0200  213.2300  200.8500  209.86  135691395.0
64  2024-07-02  218.8900  231.3000  218.0600  231.26  205047920.0
65  2024-07-03  234.5600  248.3500  234.2500  246.39  166561471.0
66  2024-07-05  249.8100  252.3700  242.4601  251.52  154501152.0
67  2024-07-08  247.7100  259.4390  244.5700  252.94  157219580.0
68  2024-07-09  251.0000  265.6100  250.3000  262.33  160742516.0
69  2024-07-10  262.8000  267.5900  257.8600  263.26  128519430.0
70  2024-07-11  263.3000  271.0000  239.6500  241.03  221707273.0
71  2024-07-12  235.8000  251.8400  233.0912  248.23  155955773.0
72  2024-07-15  255.9700  265.6000  251.7300  252.64  146912920.0
73  2024-07-16  255.3100  258.6200  245.8001  256.56  126332470.0
74  2024-07-17  252.7300  258.4700  246.1820  248.50  115584810.0
75  2024-07-18  251.0900  257.1400  247.2000  249.23  110869037.0
76  2024-07-19  247.7900  249.4400  236.8300  239.20   87403903.0
77  2024-07-22  244.2100  253.2100  243.7500  251.51  101225430.0
78  2024-07-23  253.6000  255.7594  245.6300  246.38  111928192.0
79  2024-07-24  225.4200  225.9900  214.7100  215.99  167942939.0
80  2024-07-25  216.8000  226.0000  216.2310  220.25  100636466.0
81  2024-07-26  221.1900  222.2799  215.3300  219.80   94604145.0
82  2024-07-29  224.9000  234.2700  224.7000  232.10  129201789.0
83  2024-07-30  232.2500  232.4100  220.0000  222.62  100560334.0
84  2024-07-31  227.9000  234.6800  226.7875  232.07   67497011.0
85  2024-08-01  227.6900  231.8670  214.3328  216.86   83861898.0
86  2024-08-02  214.8800  216.1300  205.7800  207.67   82880120.0
87  2024-08-05  185.2200  203.8799  182.0000  198.88  100308836.0
88  2024-08-06  200.7500  202.9000  192.6700  200.64   73783942.0
89  2024-08-07  200.7700  203.4900  191.4800  191.76   71159778.0
90  2024-08-08  195.7000  200.7000  192.0400  198.84   65033874.0
91  2024-08-09  197.0500  200.8800  195.1100  200.00   58648274.0
92  2024-08-12  199.0200  199.2600  194.6700  197.49   64044903.0
93  2024-08-13  198.4700  208.4900  197.0600  207.83   76247387.0
94  2024-08-14  207.3900  208.4400  198.7500  201.38   70250014.0
95  2024-08-15  205.0200  215.8800  204.8200  214.14   89848530.0
96  2024-08-16  211.1500  219.8000  210.8000  216.12   88765122.0
97  2024-08-19  217.0700  222.9800  214.0900  222.72   76435222.0
98  2024-08-20  224.8800  228.2200  219.5600  221.10   74001182.0
99  2024-08-21  222.6700  224.6594  218.8600  223.27   70145964.0
100 2024-08-22  223.8200  224.8000  210.3200  210.66   79514482.0
101 2024-08-23  214.4550  221.4800  214.2100  220.32   81525207.0
102 2024-08-26  218.7500  219.0900  211.0100  213.21   59301187.0
103 2024-08-27  213.2500  215.6600  206.9400  209.21   62821390.0
104 2024-08-28  209.7200  211.8400  202.5900  205.75   64116350.0
105 2024-08-29  209.8000  214.8900  205.9700  206.28   62308818.0
106 2024-08-30  208.6300  214.5701  207.0300  214.11   63370608.0
107 2024-09-03  215.2600  219.9043  209.6400  210.60   76714222.0
108 2024-09-04  210.5900  222.2200  210.5700  219.41   80217329.0
109 2024-09-05  223.4900  235.0000  222.2500  230.17  119355013.0
110 2024-09-06  232.6000  233.6000  210.5100  210.73  112177004.0
111 2024-09-09  216.2000  219.8700  213.6700  216.27   67443518.0
112 2024-09-10  220.0700  226.4000  218.6377  226.17   78891136.0
113 2024-09-11  224.5500  228.4700  216.8003  228.13   83548633.0
114 2024-09-12  224.6600  231.4500  223.8300  229.81   72020042.0
115 2024-09-13  228.0000  232.6700  226.3200  230.29   59515114.0
116 2024-09-16  229.3000  229.9600  223.5300  226.78   54322995.0
117 2024-09-17  229.4500  234.5700  226.5533  227.87   66761636.0
118 2024-09-18  230.0900  235.6800  226.8800  227.20   78010204.0
119 2024-09-19  234.0000  244.2400  232.1300  243.92  102694576.0
120 2024-09-20  241.5200  243.9900  235.9200  238.25   99879070.0
121 2024-09-23  242.6100  250.0000  241.9200  250.00   86927194.0
122 2024-09-24  254.0800  257.1900  249.0501  254.27   88490999.0
123 2024-09-25  252.5400  257.0500  252.2800  257.02   65034318.0
124 2024-09-26  260.6000  261.7500  251.5300  254.22   67142193.0
125 2024-09-27  257.3750  260.6999  254.1200  260.46   70988067.0
126 2024-09-30  259.0400  264.8600  255.7700  261.63   80873381.0
127 2024-10-01  262.6700  263.9800  248.5300  258.02   87397613.0
128 2024-10-02  247.5500  251.1585  241.5000  249.02   93983930.0
